bestd12;kvotient;halvaar;eksald;kvinde;matB;matM;sproglig;HF;HHX;HTX;udland;GIF
0;7,400000095;1;1;1;0;0;0;0;0;0;0;0
1;7,900000095;0;2;1;0;0;0;0;0;0;0;0
1;7,800000191;1;2;1;0;0;0;0;0;0;0;0
0;7,5;1;0;0;0;1;0;0;0;0;0;0
0;7,199999809;0;3;0;0;0;0;0;0;0;0;0
0;6,900000095;1;5;0;0;0;0;0;1;0;0;0
1;7,900000095;0;2;0;0;0;0;0;0;0;0;0
0;7,300000191;0;2;0;0;0;0;0;0;0;0;0
1;7,599999905;1;1;1;0;0;1;0;0;0;0;0
0;6,900000095;1;2;0;0;0;0;0;0;0;0;0
1;7,900000095;0;2;0;0;0;1;0;0;0;0;0
1;7,900000095;1;1;1;0;0;1;0;0;0;0;0
0;7,5;0;1;1;0;0;1;0;0;0;0;0
0;6,900000095;1;1;0;0;0;0;1;0;0;0;0
0;7,699999809;1;2;1;0;0;1;0;0;0;0;0
0;7,800000191;0;7;0;1;0;0;0;0;0;0;0
0;6,900000095;1;6;0;0;0;0;0;0;0;0;0
0;7,900000095;1;18;0;0;0;0;0;0;0;0;0
1;7,599999905;1;1;1;0;0;0;0;0;0;0;0
0;7,800000191;1;2;1;0;0;1;0;0;0;0;0
0;7,199999809;1;2;0;0;0;0;0;0;0;0;0
0;7,599999905;1;1;0;1;0;0;0;0;0;0;0
0;6,900000095;1;4;0;0;0;0;0;0;0;0;0
1;7,599999905;1;0;1;0;1;0;0;0;0;0;0
0;6,900000095;1;3;0;0;0;0;0;1;0;0;0
1;7,199999809;1;3;1;0;0;0;0;0;0;0;0
1;7,800000191;1;3;0;0;0;0;0;0;0;0;0
0;7,099999905;1;3;1;0;0;0;0;0;0;0;0
0;7,699999809;0;3;0;0;0;0;0;0;0;0;0
1;7,599999905;1;1;1;0;0;0;0;0;0;0;0
0;6,900000095;0;6;0;1;0;0;0;0;0;0;0
1;7,900000095;1;2;0;0;0;0;0;0;0;0;0
0;7,800000191;1;3;0;0;0;1;0;0;0;0;0
0;7,699999809;1;1;1;0;0;0;0;1;0;0;0
0;7,900000095;1;2;0;1;0;0;0;0;0;0;0
0;7,699999809;1;2;0;0;0;0;0;0;0;0;0
0;7,5;1;1;0;0;0;0;0;0;0;0;0
0;7,599999905;1;1;0;0;0;0;0;0;0;0;0
0;7,800000191;1;3;0;0;0;0;0;0;1;0;0
0;6,900000095;1;0;0;0;0;0;1;0;0;0;0
0;7,800000191;1;1;0;1;0;0;0;0;0;0;0
1;7,400000095;1;3;0;0;0;0;0;0;0;0;0
0;7,900000095;1;2;0;0;0;0;0;0;0;1;0
0;7,699999809;1;0;0;1;0;0;0;0;0;0;0
1;7,800000191;1;2;0;0;0;0;0;0;0;0;0
0;7,699999809;1;4;0;0;0;0;0;0;0;0;0
0;7,699999809;1;2;0;0;0;0;0;0;0;0;0
0;7,900000095;1;0;0;0;0;0;0;0;0;0;0
0;7,900000095;1;0;1;0;1;0;0;0;0;0;0
1;7,900000095;1;5;0;1;0;0;0;0;0;0;0
0;7,900000095;1;4;0;0;0;0;0;0;1;0;0
0;7,599999905;1;2;0;0;0;0;1;0;0;0;0
1;7,400000095;1;1;0;0;0;0;0;0;0;0;0
0;6,900000095;0;1;1;0;0;0;1;0;0;0;0
1;7,5;1;2;0;0;0;0;0;0;0;0;0
0;7,300000191;0;1;0;0;0;0;0;0;0;0;0
1;7,800000191;1;18;1;0;0;1;0;0;0;0;0
0;6,900000095;1;3;0;0;1;0;0;0;0;0;0
0;7,099999905;1;0;0;0;0;0;0;0;0;0;0
0;7,800000191;1;4;0;0;0;0;0;0;0;0;0
1;7,900000095;1;2;0;1;0;0;0;0;0;0;0
1;7,900000095;0;2;0;0;0;0;0;0;0;0;0
0;7,699999809;0;3;1;1;0;0;0;0;0;0;0
0;7,300000191;1;1;0;0;0;0;0;0;0;0;0
0;7,800000191;1;3;0;0;0;0;0;0;0;0;0
0;7,400000095;1;2;0;0;0;0;0;0;0;0;0
0;6,900000095;1;1;0;0;1;0;0;0;0;0;0
1;7,5;1;2;1;1;0;0;0;0;0;0;0
0;7,900000095;1;2;0;0;0;0;0;0;0;1;0
0;7,800000191;1;25;1;0;0;0;0;0;0;0;0
0;7,900000095;1;2;0;0;0;0;0;0;0;0;0
0;7,5;1;2;0;0;0;0;0;0;0;0;0
0;6,900000095;1;1;0;0;1;0;0;0;0;0;0
1;8,300000191;0;3;0;0;0;0;0;0;1;0;0
0;8;1;0;0;0;0;0;1;0;0;0;0
0;8,5;1;2;0;0;0;0;0;0;0;0;0
1;9,800000191;1;3;0;0;0;0;0;0;0;0;0
0;8,199999809;1;5;0;0;0;0;0;0;0;0;0
1;9,399999619;1;1;1;0;0;0;0;0;0;0;0
1;10;1;0;1;0;0;0;0;1;0;0;0
1;9,300000191;0;1;0;1;0;0;0;0;0;0;0
1;9,199999809;1;1;0;0;0;0;0;0;0;0;0
0;8,300000191;1;0;0;0;0;0;0;0;0;0;1
0;8,899999619;1;0;0;0;0;0;0;1;0;0;0
1;10;1;1;1;0;0;0;0;0;0;0;0
0;8,800000191;1;0;0;0;0;0;0;0;0;0;0
1;8;1;1;0;0;0;1;0;0;0;0;0
1;8,600000381;1;0;0;0;0;0;0;0;0;0;0
0;8,5;1;3;1;0;0;0;0;0;0;1;0
1;8,600000381;1;0;0;0;1;0;0;0;0;0;0
1;9,100000381;0;2;0;0;0;0;0;0;0;0;0
1;9;0;3;0;0;0;0;0;0;0;0;0
1;8,600000381;1;1;0;0;0;0;0;0;0;0;0
0;9,199999809;1;1;0;0;0;0;0;1;0;0;0
1;8,399999619;0;5;1;0;0;0;0;1;0;0;0
1;9,100000381;1;2;0;0;0;0;0;0;0;0;0
1;9;1;2;0;0;0;0;0;0;0;0;0
0;9,899999619;1;0;0;0;0;0;0;0;0;0;1
